Brand,Model,Year,Kilometres_Driven,Fuel_Type,Transmission,Owner_Count,Engine_CC,Mileage_kmpl,Selling_Price
Toyota,Fortuner,2025,14321,Diesel,Manual,1,2884.4,10.4,2269000.0
BMW,X1,2013,154659,Petrol,Automatic,3,2034.1,16.0,212000.0
Maruti,Wagon R,2012,172082,Petrol,Manual,1,1041.4,22.4,40000.0
Tata,Punch,2017,113692,Petrol,Manual,2,1150.1,17.4,101000.0
Toyota,Innova Crysta,2022,48256,Petrol,Automatic,2,2356.2,15.0,794000.0
Kia,Sonet,2016,121479,Petrol,Manual,2,1239.7,19.0,101000.0
BMW,X5,2017,114045,CNG,Automatic,2,3083.1,11.6,1029000.0
Maruti,Swift,2023,46494,Petrol,Automatic,2,1160.6,20.1,241000.0
Hyundai,Grand i10,2013,161567,Diesel,Manual,2,1183.3,21.5,40000.0
Honda,City,2017,115856,Diesel,Automatic,3,1543.5,17.0,162000.0
Audi,Q5,2013,155456,Electric,Manual,2,2038.8,13.0,343000.0
Tata,Tiago,2011,194154,Petrol,Manual,2,1198.6,19.6,40000.0
Honda,City,2014,155862,Petrol,Automatic,1,1470.9,19.4,108000.0
Honda,Amaze,2025,25988,Petrol,Automatic,1,1152.7,20.2,666000.0
Kia,Seltos,2013,178145,Diesel,Manual,1,1443.6,17.4,91000.0
Mahindra,Bolero,2018,97231,Petrol,Automatic,2,1473.7,17.0,177000.0
Audi,A4,2014,150856,Petrol,Automatic,2,1959.8,18.1,296000.0
Honda,WR-V,2024,26581,Petrol,Manual,1,1440.7,18.0,530000.0
Audi,Q3,2022,52963,Petrol,Automatic,1,2075.9,14.3,1552000.0
Tata,Punch,2021,63655,Diesel,Manual,1,1165.0,18.1,281000.0
Mahindra,Scorpio-N,2017,115281,Petrol,Manual,4,2269.2,14.4,200000.0
BMW,5 Series,2022,43327,Petrol,Manual,1,1950.0,15.4,2016000.0
Audi,A4,2015,149713,Diesel,Automatic,1,2065.5,18.5,436000.0
Tata,Nexon,2012,163146,Petrol,Automatic,2,1257.2,16.6,60000.0
Audi,A6,2021,66516,Diesel,Automatic,1,1967.1,13.5,1765000.0
Mahindra,XUV300,2011,198110,CNG,Manual,3,1227.8,16.6,40000.0
Audi,A6,2011,186801,CNG,Manual,1,2018.1,14.4,224000.0
BMW,X1,2020,49174,Diesel,Manual,2,2088.4,15.0,1049000.0
Maruti,Wagon R,2025,14853,Petrol,Automatic,1,1028.4,23.5,375000.0
Hyundai,Verna,2012,179586,Petrol,Automatic,2,1489.7,20.1,63000.0
Kia,Carens,2011,201419,CNG,Manual,4,1495.8,15.7,41000.0
Hyundai,Grand i10,2012,181981,Petrol,Manual,1,1152.5,19.3,40000.0
BMW,X5,2018,89470,Diesel,Manual,3,2997.6,12.3,1196000.0
Honda,WR-V,2015,132757,Petrol,Manual,1,1492.1,16.5,87000.0
Kia,Seltos,2021,58657,Petrol,Automatic,2,1434.4,17.7,470000.0
Maruti,Baleno,2014,153913,Petrol,Manual,2,1195.1,22.9,46000.0
BMW,5 Series,2023,47060,Petrol,Manual,1,2035.4,16.6,2564000.0
Hyundai,Verna,2016,112148,Petrol,Manual,1,1470.4,17.5,139000.0
Audi,A4,2023,42627,Diesel,Automatic,1,1983.7,16.0,2113000.0
Hyundai,i20,2022,49895,Petrol,Manual,1,1179.8,22.3,309000.0
Maruti,Brezza,2016,119652,Petrol,Manual,2,1513.3,17.2,126000.0
BMW,X1,2019,89388,Petrol,Automatic,1,1974.6,17.8,915000.0
Mahindra,Thar,2024,22352,Petrol,Automatic,2,2196.4,15.4,899000.0
Tata,Harrier,2016,117722,Diesel,Manual,3,2008.4,15.0,194000.0
Toyota,Innova Crysta,2021,70108,Diesel,Manual,1,2404.6,15.2,606000.0
BMW,5 Series,2014,155685,Diesel,Manual,2,1980.4,15.0,419000.0
Hyundai,Grand i10,2018,91962,Electric,Manual,2,1248.0,21.6,95000.0
BMW,X1,2019,95102,Diesel,Manual,1,2021.7,17.6,778000.0
Kia,Seltos,2012,178103,Diesel,Manual,2,1491.4,15.8,73000.0
Maruti,Swift,2011,183086,Petrol,Automatic,2,1151.1,23.9,40000.0
BMW,5 Series,2014,155584,Diesel,Manual,2,2076.7,16.4,376000.0
Maruti,Brezza,2015,133025,Petrol,Automatic,2,1499.2,17.3,110000.0
Toyota,Innova Crysta,2018,104102,Diesel,Manual,2,2389.7,14.8,337000.0
Volkswagen,Taigun,2013,164307,Petrol,Manual,1,1039.8,18.4,80000.0
Kia,Sonet,2021,80014,Petrol,Manual,1,1210.3,16.6,305000.0
Toyota,Urban Cruiser,2014,158639,Petrol,Manual,1,1404.1,20.0,81000.0
Maruti,Alto,2015,142379,Electric,Automatic,1,829.5,23.7,40000.0
BMW,X1,2015,148177,Petrol,Automatic,2,1918.0,16.0,357000.0
Mahindra,XUV700,2017,107476,Petrol,Automatic,2,2123.9,14.9,279000.0
BMW,3 Series,2017,121310,Petrol,Manual,1,2001.0,17.6,585000.0
Toyota,Fortuner,2016,119414,Petrol,Automatic,2,2781.3,9.1,435000.0
Volkswagen,Taigun,2024,24410,Petrol,Manual,1,955.6,19.1,718000.0
Hyundai,Venue,2011,180625,Petrol,Manual,1,966.3,19.5,49000.0
Kia,Sonet,2013,152115,Petrol,Manual,3,1216.0,16.7,51000.0
BMW,X1,2021,79018,Petrol,Manual,1,2008.9,17.6,1101000.0
BMW,5 Series,2013,167510,Diesel,Automatic,2,2031.6,14.6,366000.0
Hyundai,Verna,2017,105476,Diesel,Automatic,1,1553.4,19.1,207000.0
Maruti,Wagon R,2015,127067,Petrol,Manual,1,1010.4,21.4,49000.0
Hyundai,Grand i10,2022,46469,Petrol,Automatic,2,1150.8,21.0,261000.0
Ford,EcoSport,2012,190241,Petrol,Manual,3,1568.5,16.0,40000.0
Ford,EcoSport,2021,70378,Diesel,Manual,2,1495.7,14.5,269000.0
Mahindra,XUV700,2022,55048,Diesel,Automatic,1,2274.5,14.8,853000.0
Kia,Sonet,2012,180861,Petrol,Automatic,1,1209.3,17.5,59000.0
BMW,X1,2014,141193,Diesel,Manual,2,2082.1,17.1,272000.0
Toyota,Glanza,2014,157429,Petrol,Automatic,3,1251.5,20.8,52000.0
Hyundai,Grand i10,2019,90438,Petrol,Automatic,1,1166.6,22.0,151000.0
Honda,Amaze,2016,122321,Diesel,Manual,1,1249.0,17.2,112000.0
Ford,EcoSport,2025,22532,Diesel,Automatic,1,1567.9,17.2,724000.0
Volkswagen,Vento,2019,99289,CNG,Manual,2,1041.5,16.5,165000.0
Kia,Carens,2024,31860,Petrol,Manual,1,1541.2,17.3,630000.0
Honda,Amaze,2021,60301,Diesel,Manual,1,1166.6,17.2,269000.0
Tata,Safari,2018,84359,Diesel,Automatic,2,1987.6,16.9,419000.0
Kia,Sonet,2012,162726,Petrol,Automatic,1,1241.9,18.5,63000.0
Honda,WR-V,2017,133781,Petrol,Manual,1,1473.5,17.6,123000.0
Maruti,Dzire,2023,35797,Petrol,Manual,1,1165.1,21.1,319000.0
Audi,Q3,2011,177372,CNG,Automatic,1,2001.6,17.3,180000.0
BMW,X1,2024,26799,Diesel,Manual,2,1941.5,17.7,2021000.0
Tata,Safari,2023,37673,CNG,Automatic,1,1981.4,15.2,1029000.0
Toyota,Fortuner,2011,184167,Petrol,Manual,3,2809.0,9.3,141000.0
Mahindra,Bolero,2018,83034,Petrol,Manual,1,1545.6,14.5,167000.0
Audi,A4,2021,57973,Petrol,Manual,1,1936.3,18.2,1255000.0
Mahindra,Bolero,2022,53346,CNG,Manual,2,1499.5,17.2,314000.0
BMW,X1,2018,109243,Petrol,Manual,1,1961.9,15.4,655000.0
Toyota,Glanza,2021,59806,Diesel,Automatic,1,1236.0,20.6,269000.0
Ford,Figo,2012,176844,Diesel,Automatic,2,1135.1,17.7,40000.0
Maruti,Swift,2011,182735,Petrol,Automatic,1,1171.1,19.9,40000.0
Hyundai,Venue,2022,45943,Petrol,Automatic,2,965.4,19.2,416000.0
Maruti,Ertiga,2016,123128,Petrol,Manual,3,1533.7,19.7,102000.0
Volkswagen,Taigun,2014,163774,Diesel,Manual,1,981.4,18.1,103000.0
Kia,Carens,2020,76096,CNG,Manual,2,1501.0,17.6,269000.0
Hyundai,Venue,2016,115200,Petrol,Automatic,4,951.2,19.0,107000.0
Tata,Safari,2014,136795,Electric,Manual,3,1903.2,15.2,133000.0
Audi,Q5,2022,47464,Diesel,Manual,1,1916.4,12.6,2106000.0
BMW,X1,2021,68679,Diesel,Manual,1,2079.0,16.7,1241000.0
Audi,A6,2024,33860,Diesel,Manual,1,1995.6,13.3,2806000.0
Mahindra,Bolero,2015,125372,Electric,Manual,2,1519.9,15.7,90000.0
Mahindra,Scorpio-N,2023,56722,Diesel,Automatic,2,2233.0,15.2,822000.0
Audi,A6,2025,36216,Diesel,Manual,1,1949.6,14.1,3204000.0
Maruti,Brezza,2014,148819,Petrol,Manual,4,1418.3,19.5,67000.0
Kia,Carens,2022,55204,Diesel,Manual,3,1429.9,16.6,418000.0
BMW,X5,2012,166611,Diesel,Automatic,2,2988.3,11.6,435000.0
Mahindra,XUV700,2016,141602,Petrol,Automatic,1,2088.0,14.2,225000.0
Honda,Amaze,2013,155486,Electric,Manual,1,1233.7,19.2,55000.0
Hyundai,Verna,2013,161304,Petrol,Automatic,1,1426.7,17.7,82000.0
Tata,Harrier,2023,41960,Diesel,Manual,1,2008.4,16.3,887000.0
Honda,Civic,2019,102471,Petrol,Automatic,3,1784.9,15.8,328000.0
Mahindra,Bolero,2022,49328,Petrol,Manual,2,1453.6,16.9,320000.0
Ford,Endeavour,2022,54845,Petrol,Manual,1,1915.6,12.2,1168000.0
Ford,EcoSport,2014,130402,Diesel,Manual,2,1566.2,15.1,76000.0
Maruti,Ertiga,2018,89749,Petrol,Automatic,2,1437.3,18.8,199000.0
Audi,A4,2015,132578,Petrol,Manual,3,1917.9,16.2,297000.0
Tata,Punch,2022,62716,Diesel,Manual,2,1163.7,17.4,273000.0
Hyundai,i20,2025,16283,Petrol,Manual,1,1164.0,19.0,502000.0
Maruti,Swift,2013,168330,Petrol,Manual,2,1217.0,20.4,40000.0
Toyota,Urban Cruiser,2012,175771,Petrol,Automatic,4,1402.6,19.3,48000.0
Tata,Harrier,2011,184752,Diesel,Automatic,2,1864.1,17.7,95000.0
Maruti,Swift,2013,177027,CNG,Automatic,2,1206.2,21.3,40000.0
Mahindra,Thar,2011,193041,Diesel,Manual,3,2266.7,14.9,64000.0
Mahindra,Scorpio-N,2016,122980,CNG,Automatic,2,2264.6,14.1,205000.0
Ford,EcoSport,2015,128229,Petrol,Automatic,2,1488.3,15.1,92000.0
Mahindra,XUV700,2021,53479,Diesel,Automatic,2,2176.0,14.6,725000.0
Hyundai,Venue,2015,137716,Petrol,Manual,2,1002.9,19.1,88000.0
Volkswagen,Polo,2015,127548,Petrol,Manual,2,1038.8,17.3,65000.0
Toyota,Innova Crysta,2023,34968,Petrol,Manual,1,2346.9,16.0,921000.0
Kia,Sonet,2012,170754,Petrol,Automatic,3,1199.7,17.0,53000.0
Ford,EcoSport,2025,12189,Diesel,Manual,2,1493.5,16.9,606000.0
BMW,3 Series,2020,79558,Petrol,Manual,2,2001.0,16.4,1048000.0
Kia,Sonet,2019,79049,Diesel,Manual,2,1187.9,19.0,196000.0
Toyota,Fortuner,2011,179456,Petrol,Manual,1,2856.7,9.9,161000.0
Mahindra,Bolero,2025,11397,Diesel,Manual,1,1427.1,14.9,635000.0
Ford,EcoSport,2012,167856,Petrol,Manual,3,1524.8,17.5,40000.0
Honda,Civic,2020,82450,Diesel,Manual,2,1816.2,16.2,410000.0
Mahindra,Thar,2017,110812,Petrol,Manual,1,2249.6,14.4,230000.0
Mahindra,XUV700,2013,145050,Petrol,Automatic,4,2219.3,15.2,116000.0
Toyota,Urban Cruiser,2016,127992,Diesel,Automatic,1,1489.8,17.6,141000.0
Audi,Q3,2022,63512,Diesel,Automatic,1,1964.0,14.7,1576000.0
BMW,X5,2022,43283,Petrol,Automatic,1,2920.3,11.8,3386000.0
Tata,Tiago,2016,122673,Petrol,Manual,2,1167.7,20.0,69000.0
Ford,Endeavour,2014,145737,Diesel,Manual,3,2010.9,12.6,207000.0
Maruti,Baleno,2016,121491,Diesel,Automatic,3,1231.7,21.5,74000.0
Tata,Safari,2012,182330,Petrol,Manual,4,1970.3,17.5,87000.0
Mahindra,Thar,2014,140812,Diesel,Automatic,2,2282.9,16.2,141000.0
Hyundai,Grand i10,2012,175413,Petrol,Manual,1,1230.1,19.1,40000.0
Toyota,Fortuner,2023,43266,Petrol,Manual,1,2659.1,9.1,1622000.0
Kia,Seltos,2012,166653,Petrol,Automatic,2,1466.7,16.3,72000.0
Tata,Nexon,2022,48092,Diesel,Manual,1,1258.6,18.1,428000.0
Toyota,Innova Crysta,2014,146580,Diesel,Automatic,3,2462.9,14.8,154000.0
Honda,WR-V,2021,74662,Diesel,Automatic,1,1485.4,17.4,304000.0
Tata,Harrier,2017,110466,Petrol,Manual,1,1860.6,15.5,282000.0
Hyundai,Grand i10,2023,40021,Petrol,Manual,1,1169.0,19.2,267000.0
Hyundai,Venue,2022,49518,Diesel,Automatic,2,1033.9,17.8,432000.0
Maruti,Swift,2011,188720,Diesel,Manual,1,1248.5,20.9,40000.0
Volkswagen,Taigun,2012,174333,Petrol,Manual,1,1037.9,17.9,74000.0
Tata,Tiago,2011,180165,Petrol,Automatic,2,1235.2,18.4,40000.0
Toyota,Innova Crysta,2018,100393,Petrol,Manual,2,2458.7,15.6,300000.0
Volkswagen,Vento,2015,147041,Petrol,Manual,1,1000.5,19.0,86000.0
BMW,3 Series,2019,90507,Petrol,Manual,1,2021.0,17.0,921000.0
Kia,Carens,2024,26531,Petrol,Manual,1,1494.9,17.9,686000.0
Hyundai,Creta,2020,82495,Petrol,Automatic,1,1477.9,16.8,378000.0
Audi,A6,2016,127520,Diesel,Manual,1,2081.7,14.6,604000.0
Ford,EcoSport,2022,51668,CNG,Manual,2,1490.1,17.0,315000.0
Ford,Figo,2022,51824,Diesel,Manual,1,1221.2,17.0,226000.0
Toyota,Glanza,2012,170084,Petrol,Manual,3,1224.9,22.5,40000.0
BMW,X1,2025,18301,Diesel,Manual,1,2006.6,17.3,2654000.0
Honda,City,2014,142149,Petrol,Manual,3,1453.7,18.0,84000.0
Ford,Figo,2021,57103,Petrol,Manual,2,1234.6,19.7,152000.0
Audi,A6,2015,148893,Petrol,Manual,1,1945.4,15.2,491000.0
Toyota,Glanza,2023,50685,Petrol,Manual,1,1137.4,20.9,305000.0
Toyota,Urban Cruiser,2019,93952,Petrol,Manual,2,1463.5,19.5,188000.0
Kia,Carens,2014,165492,Diesel,Automatic,1,1545.7,16.5,100000.0
Mahindra,Bolero,2022,62666,Diesel,Automatic,2,1495.6,15.8,346000.0
Ford,EcoSport,2017,107893,Petrol,Automatic,3,1530.9,15.3,120000.0
Mahindra,XUV300,2014,138509,Diesel,Manual,2,1237.7,16.6,82000.0
Tata,Nexon,2014,137713,Petrol,Manual,3,1171.8,17.1,69000.0
Tata,Safari,2020,67604,Diesel,Manual,1,1948.5,16.0,577000.0
Tata,Tiago,2016,121105,CNG,Automatic,3,1139.9,18.2,62000.0
Audi,Q3,2014,150134,Diesel,Automatic,1,1896.1,15.1,297000.0
Honda,WR-V,2022,44445,Diesel,Manual,1,1550.9,15.9,382000.0
Volkswagen,Polo,2015,121507,Petrol,Manual,2,1038.9,16.5,64000.0
Toyota,Urban Cruiser,2025,14932,Diesel,Automatic,1,1461.2,20.5,782000.0
Ford,Endeavour,2015,144413,Diesel,Manual,4,2017.7,12.0,211000.0
Hyundai,Grand i10,2014,142415,Diesel,Manual,4,1164.4,20.3,40000.0
Ford,Endeavour,2011,183686,Petrol,Manual,2,1992.9,11.6,140000.0
Audi,A6,2020,58096,Diesel,Manual,1,1986.5,15.0,1480000.0
Honda,WR-V,2011,176922,Petrol,Manual,1,1472.6,18.4,43000.0
BMW,X5,2015,129207,Petrol,Automatic,2,3068.0,11.3,748000.0
BMW,5 Series,2013,164675,CNG,Manual,2,1919.2,16.0,318000.0
Hyundai,Creta,2013,150140,Petrol,Manual,2,1535.5,16.2,79000.0
Audi,Q3,2025,14897,CNG,Manual,1,2022.9,16.7,2134000.0
Honda,City,2013,181349,Petrol,Manual,3,1546.0,17.1,68000.0
Mahindra,Scorpio-N,2019,90462,Diesel,Manual,3,2166.0,15.9,349000.0
Hyundai,Venue,2022,51502,Petrol,Manual,1,1000.7,19.0,394000.0
Tata,Safari,2023,48885,Petrol,Manual,2,1879.9,16.9,914000.0
Hyundai,Venue,2022,44122,Diesel,Automatic,1,972.5,16.8,424000.0
Maruti,Brezza,2013,154281,Petrol,Manual,2,1498.4,19.3,66000.0
Mahindra,Thar,2015,140434,Petrol,Manual,3,2098.0,14.6,116000.0
Ford,Endeavour,2019,92059,Diesel,Automatic,1,1911.6,12.0,793000.0
Mahindra,Bolero,2013,156974,Diesel,Automatic,1,1538.9,14.6,72000.0
Honda,City,2016,136551,Diesel,Manual,1,1490.1,17.7,149000.0
BMW,5 Series,2013,171460,Petrol,Manual,2,1903.5,16.9,304000.0
Audi,Q3,2024,25981,CNG,Automatic,1,1888.4,17.3,2105000.0
Volkswagen,Taigun,2019,94275,Petrol,Automatic,1,958.7,17.2,279000.0
BMW,X5,2019,85908,Diesel,Manual,1,3061.9,11.4,1553000.0
BMW,5 Series,2019,79415,Electric,Manual,1,2065.6,14.8,1198000.0
Volkswagen,Vento,2012,162814,Diesel,Automatic,1,971.1,17.6,61000.0
Audi,A4,2019,96801,Diesel,Manual,1,1970.2,16.8,838000.0
Audi,Q3,2020,81008,Petrol,Manual,3,1973.1,16.7,746000.0
Ford,Figo,2022,51031,Petrol,Automatic,3,1206.0,19.4,198000.0
Ford,Endeavour,2016,118254,Diesel,Manual,1,2016.8,13.4,371000.0
Kia,Seltos,2019,87238,Petrol,Manual,1,1453.1,16.6,267000.0
Maruti,Alto,2018,84457,Petrol,Manual,2,820.1,22.4,63000.0
Volkswagen,Vento,2024,35634,Petrol,Automatic,1,1036.9,17.9,521000.0
Volkswagen,Vento,2013,156345,Petrol,Automatic,1,988.0,18.4,69000.0
Tata,Punch,2022,43414,Diesel,Automatic,2,1242.5,17.0,347000.0
Ford,EcoSport,2025,25233,Diesel,Manual,1,1540.9,16.4,593000.0
BMW,X5,2011,189095,Diesel,Automatic,2,3021.0,10.1,379000.0
Mahindra,Thar,2019,87653,Petrol,Manual,2,2236.6,15.3,326000.0
BMW,5 Series,2011,187535,Petrol,Manual,2,2079.9,16.5,228000.0
Audi,Q3,2018,116207,Diesel,Automatic,2,1970.1,16.3,586000.0
Tata,Harrier,2024,40139,Diesel,Automatic,2,1942.5,15.7,1075000.0
Kia,Carens,2019,86999,Petrol,Manual,1,1498.7,15.4,267000.0
Tata,Nexon,2011,183764,Petrol,Manual,1,1185.3,18.0,49000.0
Maruti,Alto,2015,140444,Petrol,Automatic,2,800.8,20.3,40000.0
Hyundai,Grand i10,2024,29043,CNG,Manual,1,1140.9,20.2,307000.0
Hyundai,Creta,2023,37194,Petrol,Manual,2,1439.5,18.6,560000.0
Ford,Endeavour,2014,149114,Petrol,Manual,1,1902.4,13.6,244000.0
Tata,Punch,2019,90249,Diesel,Manual,2,1239.0,18.7,158000.0
Honda,Amaze,2011,201266,Petrol,Automatic,2,1158.9,18.9,44000.0
Hyundai,Creta,2014,149682,Petrol,Automatic,3,1515.5,17.2,99000.0
Tata,Punch,2018,100758,Petrol,Manual,4,1248.1,19.7,106000.0
Mahindra,Bolero,2016,120458,Diesel,Manual,3,1459.5,17.2,102000.0
Maruti,Dzire,2013,153725,Diesel,Manual,2,1196.0,23.4,46000.0
Ford,Figo,2021,65231,Petrol,Manual,1,1237.6,20.3,170000.0
Honda,WR-V,2025,27245,Petrol,Automatic,1,1423.6,18.0,647000.0
BMW,X1,2025,20054,Diesel,Manual,1,2020.3,17.7,2382000.0
Mahindra,Bolero,2016,132615,Petrol,Manual,2,1538.5,15.3,91000.0
Audi,A6,2025,25809,Electric,Manual,2,1902.6,12.7,2882000.0
Toyota,Innova Crysta,2015,131868,Diesel,Automatic,2,2456.7,16.1,209000.0
BMW,X1,2019,92455,Diesel,Manual,2,1900.1,15.7,747000.0
Hyundai,Grand i10,2023,35272,Diesel,Manual,1,1154.5,21.6,307000.0
Hyundai,Creta,2018,103689,Petrol,Manual,1,1425.4,17.3,243000.0
Maruti,Swift,2024,29479,Petrol,Manual,1,1243.5,22.0,303000.0
Kia,Sonet,2014,151219,Diesel,Manual,2,1165.2,17.7,70000.0
Toyota,Innova Crysta,2021,59089,Petrol,Manual,1,2424.0,13.8,647000.0
Audi,Q3,2011,192119,Petrol,Manual,1,2025.1,14.4,168000.0
Audi,A6,2015,138479,Diesel,Manual,4,2071.9,13.9,379000.0
BMW,X5,2013,152576,Petrol,Automatic,2,2959.4,11.5,505000.0
Kia,Carens,2017,117400,Petrol,Manual,1,1523.4,18.0,165000.0
Toyota,Glanza,2013,158119,Diesel,Manual,2,1251.7,22.3,44000.0
Hyundai,Creta,2022,54759,Petrol,Automatic,1,1552.4,17.8,580000.0
Toyota,Innova Crysta,2017,102391,Diesel,Manual,1,2429.3,15.8,298000.0
Tata,Tiago,2018,120737,Petrol,Manual,2,1237.8,21.1,91000.0
Tata,Harrier,2024,21061,Petrol,Automatic,1,1997.0,17.8,1091000.0
Honda,WR-V,2016,144300,Petrol,Manual,4,1500.9,18.1,72000.0
Maruti,Ertiga,2020,83276,Diesel,Manual,1,1444.8,18.5,263000.0
Ford,EcoSport,2019,89814,Petrol,Manual,1,1466.1,16.4,207000.0
Honda,City,2021,77392,Diesel,Manual,1,1454.1,16.6,406000.0
Audi,A4,2012,168040,Petrol,Automatic,2,2081.3,16.5,220000.0
Toyota,Fortuner,2021,84259,CNG,Manual,1,2679.3,9.4,902000.0
Kia,Seltos,2020,67902,Electric,Manual,3,1446.7,17.0,314000.0
Toyota,Fortuner,2018,93484,Diesel,Manual,1,2807.3,10.4,684000.0
Toyota,Urban Cruiser,2019,80287,CNG,Manual,1,1462.1,19.4,204000.0
Mahindra,XUV700,2024,27753,Petrol,Manual,1,2111.0,14.8,1045000.0
Volkswagen,Polo,2011,181566,CNG,Manual,4,1048.4,19.0,40000.0
Audi,Q5,2021,69708,Petrol,Automatic,1,1927.2,12.1,1770000.0
Honda,City,2021,75889,Petrol,Automatic,3,1481.9,19.1,360000.0
Toyota,Glanza,2024,21040,Diesel,Automatic,1,1204.8,23.5,490000.0
Audi,A4,2020,72606,Diesel,Automatic,1,2045.1,16.3,1209000.0
Volkswagen,Vento,2015,147157,Petrol,Manual,3,949.1,19.0,66000.0
Ford,Figo,2012,167805,Petrol,Automatic,4,1247.8,18.8,40000.0
Hyundai,Grand i10,2014,159570,Petrol,Manual,2,1238.6,22.4,44000.0
Toyota,Urban Cruiser,2017,100789,Petrol,Manual,1,1515.6,17.9,166000.0
Tata,Safari,2018,101260,Diesel,Manual,3,1913.5,15.6,336000.0
Ford,Endeavour,2018,112362,Diesel,Automatic,2,1937.0,11.8,534000.0
Ford,Endeavour,2022,48722,Diesel,Manual,1,2071.7,12.3,1166000.0
Volkswagen,Taigun,2023,48195,Petrol,Automatic,1,995.3,16.5,626000.0
Tata,Punch,2024,34956,Petrol,Manual,1,1182.5,19.7,415000.0
Ford,Endeavour,2015,128760,Petrol,Automatic,4,1941.0,12.8,265000.0
Tata,Punch,2017,107007,Diesel,Automatic,3,1169.4,18.0,109000.0
Volkswagen,Taigun,2016,113986,Diesel,Manual,1,987.1,17.8,170000.0
Volkswagen,Vento,2025,13286,Petrol,Manual,1,997.2,17.1,660000.0
Audi,Q3,2015,148653,Diesel,Manual,4,1973.8,14.7,234000.0
Ford,Figo,2016,127494,CNG,Automatic,3,1237.2,17.7,59000.0
Audi,A4,2016,128516,Diesel,Manual,4,1983.3,17.0,341000.0
Toyota,Fortuner,2011,191231,Petrol,Automatic,1,2811.1,10.9,178000.0
Toyota,Urban Cruiser,2021,80058,Petrol,Manual,1,1434.1,18.6,292000.0
Honda,WR-V,2022,53079,Petrol,Automatic,2,1524.5,17.9,349000.0
Mahindra,Scorpio-N,2019,83804,Diesel,Manual,2,2272.7,13.1,393000.0
Maruti,Swift,2022,59176,Petrol,Manual,1,1211.5,21.3,211000.0
Tata,Safari,2011,180713,Diesel,Manual,1,1931.3,17.5,104000.0
Mahindra,Scorpio-N,2016,111341,Diesel,Automatic,2,2280.4,15.7,228000.0
Kia,Seltos,2012,185108,Diesel,Manual,2,1481.7,15.7,68000.0
Audi,Q3,2012,168093,Petrol,Automatic,4,2004.6,14.5,149000.0
Mahindra,XUV300,2021,79125,Petrol,Manual,1,1214.0,17.7,304000.0
Volkswagen,Vento,2019,83976,Diesel,Manual,1,976.1,17.9,219000.0
Maruti,Dzire,2020,94242,Petrol,Automatic,1,1229.6,23.8,195000.0
